ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0668,HINDAGALA,E.B. STORES,BM,20,600,0607R,408,M,A8,AKBAR BROTHERS (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,820
MF0655,BADDEGAMA,E.B. STORES,FGS,10,394,296,409,M,A8,AKBAR BROTHERS (PVT) LTD,,880,900,Bold,Mixed,Plain,0,400,900,830
MF0353,YATADERIYA,E.B. STORES,FGS,10,500,0657R,410,M,A23,ADAMEXPO,,850,870,Bold,Mixed,Plain,0,400,870,790
MF0353,YATADERIYA,E.B. STORES,FGS,10,500,696,411,M,A8,AKBAR BROTHERS (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,820
MF0353,YATADERIYA,E.B. STORES,FGS,10,450,0713R,412,M,A23,ADAMEXPO,,880,900,Bold,Mixed,Plain,0,400,900,790
MF0353,YATADERIYA,E.B. STORES,BP,10,460,724,413,M,V3,VAN REES (CEY)LTD.,,950,970,,,,0,400,970,850
MF0353,YATADERIYA,E.B. STORES,BM,10,340,0723R,414,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,Clean,Aroma,Quality,0,400,970,850
MF0353,YATADERIYA,E.B. STORES,BT,10,217,0581R,415,M,R64,RANFER TEAS(PVT)LTD,,800,820,,,,0,400,820,860
MF1025,OAKDALE,E.B. STORES,FGS1,20,1100,0378R,416,M,V3,VAN REES (CEY)LTD.,,800,820,Bold,Mixed,Plain,0,400,820,800
MF1025,OAKDALE,E.B. STORES,FGS1,20,1100,0376R,417,M,E4,ESWARAN BROTHERS EXPORTS (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,830
MF0817,WERALLAKANDA,E.B. STORES,BOP1A,20,600,955,418,M,A8,AKBAR BROTHERS (PVT) LTD,,900,920,Clean,Aroma,Quality,0,400,920,790
MF0388,GAMPAHA,E.B. STORES,BOP1A,10,250,0402R,419,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,Clean,Aroma,Quality,0,400,970,820
MF0388,GAMPAHA,E.B. STORES,BOP1A,10,270,0420R,420,M,A8,AKBAR BROTHERS (PVT) LTD,,930,950,Clean,Aroma,Quality,0,400,950,810
MF0494,AMPITTIAKANDE,E.B. STORES,BOP1A,20,500,0674R,421,M,A8,AKBAR BROTHERS (PVT) LTD,,940,960,Clean,Aroma,Quality,0,400,960,810
MF0494,AMPITTIAKANDE,E.B. STORES,BOP1A,10,280,0678R,422,M,F73,FRESH TEA EXPORTS (PVT) LTD,,960,980,Clean,Aroma,Quality,0,400,980,830
MF0683,CRAIG,E.B. STORES,BOP1A,20,500,0910R,423,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,Clean,Aroma,Quality,0,400,970,810
MF0683,CRAIG,E.B. STORES,BOP1A,20,520,0917R,424,M,A8,AKBAR BROTHERS (PVT) LTD,,880,900,Clean,Aroma,Quality,0,400,900,770
MF0683,CRAIG,E.B. STORES,BOP1A,10,250,0940R,425,M,A8,AKBAR BROTHERS (PVT) LTD,,1050,1070,Clean,Aroma,Quality,0,500,1070,960
